                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.153,                0.77825,                 1.0413,                0.79481,                 0.7358,                 0.7297,                0.49783,                 1.0952,                0.60933,                 1.0276,             0.00025131,             0.00025131,             0.00025131
                     36,                 1.1459,                0.79193,                 1.0452,                0.79711,                 0.7303,                0.73896,                0.50301,                 1.1088,                0.60428,                   1.03,             0.00023608,             0.00023608,             0.00023608
                     37,                 1.1231,                  0.759,                 1.0374,                0.91018,                0.73939,                0.76938,                0.52478,                 1.0931,                0.62261,                 1.0378,             0.00022086,             0.00022086,             0.00022086
                     38,                 1.1561,                0.77806,                 1.0663,                0.79326,                0.72605,                0.74716,                0.51108,                 1.0912,                  0.612,                 1.0307,             0.00020563,             0.00020563,             0.00020563
                     39,                 1.0904,                0.82267,                 1.0133,                0.89616,                0.73085,                0.74159,                0.51037,                 1.0813,                0.59591,                 1.0389,              0.0001904,              0.0001904,              0.0001904
                     40,                 1.1218,                0.75345,                 1.0495,                0.92241,                0.72992,                0.75063,                0.51359,                 1.0904,                0.59519,                  1.036,             0.00017518,             0.00017518,             0.00017518
                     41,                 1.0821,                0.73368,                 1.0388,                0.89497,                0.73441,                0.75016,                0.52246,                 1.0796,                0.60515,                 1.0263,             0.00015995,             0.00015995,             0.00015995
                     42,                 1.1231,                0.74452,                 1.0508,                0.81396,                0.73533,                0.75245,                0.51539,                  1.095,                0.58969,                 1.0338,             0.00014473,             0.00014473,             0.00014473
                     43,                 1.0543,                0.69482,                 1.0321,                0.80718,                0.74017,                0.77461,                0.53867,                  1.056,                0.57158,                 1.0175,              0.0001295,              0.0001295,              0.0001295
                     44,                 1.0501,                0.68075,                  1.038,                0.80492,                0.74266,                0.77847,                0.54799,                   1.04,                  0.565,                0.99622,             0.00011427,             0.00011427,             0.00011427
                     45,                 1.0565,                0.67388,                 1.0269,                0.80647,                0.74687,                0.77538,                0.55054,                 1.0226,                0.55537,                0.99128,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                 1.0366,                 0.6768,                 1.0231,                0.80569,                0.74291,                0.77528,                0.54773,                 1.0261,                0.55327,                0.99583,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                 1.0334,                0.65798,                 1.0251,                0.80667,                0.74748,                0.77588,                 0.5495,                  1.017,                  0.549,                0.98939,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                 1.0366,                0.68386,                 1.0396,                0.80444,                0.74844,                0.78265,                0.55124,                 1.0134,                0.55235,                0.98562,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                 1.0185,                0.65404,                 1.0152,                0.81356,                0.74901,                0.78607,                0.55646,                  1.003,                0.54528,                0.98282,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                 1.0136,                0.67432,                 1.0121,                0.80621,                0.74786,                0.78232,                0.55703,                0.99216,                0.54357,                0.97895,             2.2916e-05,             2.2916e-05,             2.2916e-05
